0,1746867.64291716,0.3879424811,17,28,0.6481444386,0.8366894596,324.0722192909,418.3447298208
1,1746869.4588057,0.4040485721,71,83,0.3851541549,0.4346911278,192.5770774423,217.345563886
2,1746870.078904,0.4200302809,90,102,0.6654606407,0.5339989501,332.7303203263,266.999475033
3,1746870.91884087,0.2720232909,115,123,0.4655171573,0.646381404,232.7585786397,323.1907019905
4,1746871.52693941,0.5198884741,133,149,0.6731542455,0.6267199563,336.5771227523,313.3599781441
5,1746872.06293273,0.2519197729,150,157,0.591173134,0.6436207767,295.5865669752,321.8103883354
6,1746872.88687489,0.419977909,174,187,0.662708128,0.3486398246,331.3540640147,174.3199122862
7,1746873.62693139,0.31592201,197,206,0.6510618701,0.4120326438,325.530935075,206.0163219223
8,1746873.99490955,0.352001932,208,213,0.5028397412,0.4306758723,251.4198706167,215.3379361644
9,1746874.6668982,0.4879826549,223,238,0.4652661972,0.3945499551,232.6330986032,197.2749775259
10,1746875.17084278,1.2920456091,238,277,0.5108650241,0.3815084341,255.432512033,190.7542170257
11,1746876.48292081,0.7039892059,278,299,0.5784589064,0.4140834488,289.2294531897,207.04172442
12,1746877.40685224,0.252033477,305,313,0.4006569921,0.378702124,200.3284960589,189.351062014
13,1746877.85888886,0.2519864629,319,326,0.2992592857,0.65596385,149.6296428454,327.9819249829
14,1746878.37891784,0.287922777,335,343,0.5010077698,0.6443070347,250.5038848971,322.1535173618
15,1746878.69886633,0.3520790141,344,355,0.6405528085,0.734356324,320.2764042667,367.178161985
16,1746879.37085262,0.30404335,364,374,0.4629272719,0.711828514,231.4636359562,355.9142570041
17,1746879.97492172,0.3519336372,383,393,0.5566190349,0.5877056154,278.3095174728,293.8528077114
18,1746880.95089519,0.251965991,412,420,0.6085694201,0.5763284656,304.2847100284,288.1642327791
19,1746881.30289637,0.6879475669,423,443,0.6544313391,0.7694538567,327.2156695376,384.7269283426
20,1746882.00691588,0.319948944,444,453,0.619693234,0.762607109,309.8466169832,381.303554476
21,1746882.34289215,0.272018814,454,462,0.5471823414,0.731549937,273.5911706958,365.7749685132
22,1746882.83086177,0.304036947,468,478,0.4645616045,0.7622923572,232.2808022476,381.1461786107
23,1746883.16685463,0.4720212279,479,493,0.5846874473,0.8276967772,292.3437236415,413.8483885948
24,1746883.6548591,0.3200259791,493,503,0.5348415944,0.7892688948,267.4207971831,394.6344474236
25,1746883.99084823,0.3879969041,503,515,0.5094296948,0.7393588839,254.7148474144,369.6794419686
26,1746884.41091879,0.452004968,516,530,0.4457779464,0.7384993145,222.8889732063,369.2496572629
27,1746885.09891838,0.3519702991,537,547,0.4205949013,0.7571167359,210.2974506662,378.5583679388
28,1746885.50291357,0.35197067,549,559,0.370856098,0.7107299101,185.4280490099,355.3649550356
29,1746886.37484014,1.1280473019,575,609,0.6981495223,0.7138243384,349.0747611593,356.9121692054
30,1746887.51893139,0.6879209981,610,630,0.6643820335,0.7506013513,332.1910167471,375.3006756648
31,1746888.44289798,0.8400011989,637,663,0.5635637295,0.7518584866,281.7818647333,375.9292433067
32,1746889.29885246,0.8080393472,663,687,0.5638716566,0.7313761275,281.9358282981,365.688063759
33,1746891.18290543,0.3519597079,720,730,0.3433108051,0.7384259354,171.6554025406,369.21296771
